Time [s],Channel 0,Channel 1
0.000000000,1,1
0.000053100,0,1
0.000055450,1,1
0.000116650,0,1
0.000119050,1,1
0.000180200,0,1
0.000182600,1,1
0.000243800,0,1
0.000246150,1,1
0.000307350,0,1
0.000309700,1,1
0.000370900,0,1
0.000373250,1,1
0.000434450,0,1
0.000436800,1,1
0.000498000,0,1
0.000500350,1,1
0.000561550,0,1
0.000563900,1,1
0.000625100,0,1
0.000627450,1,1
0.000688650,0,1
0.000691000,1,1
0.000752200,0,1
0.000754550,1,1
0.000815800,0,1
0.000818150,1,1
0.000879350,0,1
0.000881700,1,1
0.000942900,0,1
0.000945250,1,1
0.001006450,0,1
0.001008800,1,1
0.001070000,0,1
0.001072350,1,1
0.001133550,0,1
0.001135900,1,1
0.001197100,0,1
0.001199450,1,1
0.001260650,0,1
0.001263000,1,1
0.001324200,0,1
0.001326600,1,1
0.001387750,0,1
0.001390150,1,1
0.001451350,0,1
0.001453700,1,1
0.001514900,0,1
0.001517250,1,1
0.001578450,0,1
0.001580800,1,1
0.001642000,0,1
0.001644350,1,1
0.001705550,0,1
0.001707900,1,1
0.001769100,0,1
0.001771450,1,1
0.001832650,0,1
0.001835000,1,1
0.001896200,0,1
0.001898600,1,1
0.001959800,0,1
0.001962150,1,1
0.002023350,0,1
0.002025700,1,1
0.002086900,0,1
0.002089250,1,1
0.002150450,0,1
0.002152800,1,1
0.002214000,0,1
0.002216350,1,1
0.002277550,0,1
0.002279900,1,1
0.002341100,0,1
0.002343450,1,1
0.002404650,0,1
0.002407050,1,1
0.002468200,0,1
0.002470550,1,1
0.002531750,0,1
0.002534150,1,1
0.002595300,0,1
0.002597700,1,1
0.002658900,0,1
0.002661250,1,1
0.002722450,0,1
0.002724800,1,1
0.002786000,0,1
0.002788350,1,1
0.002849550,0,1
0.002851900,1,1
0.002913100,0,1
0.002915450,1,1
0.002976650,0,1
0.002979000,1,1
0.003040200,0,1
0.003042600,1,1
0.003103750,0,1
0.003106150,1,1
0.003167300,0,1
0.003169700,1,1
0.003230900,0,1
0.003233250,1,1
0.003294450,0,1
0.003296800,1,1
0.003358000,0,1
0.003360350,1,1
0.003421550,0,1
0.003423900,1,1
0.003485100,0,1
0.003487450,1,1
0.003548650,0,1
0.003551000,1,1
0.003612200,0,1
0.003614550,1,1
0.003675750,0,1
0.003678150,1,1
0.003739350,0,1
0.003741700,1,1
0.003802900,0,1
0.003805250,1,1
0.003866450,0,1
0.003868800,1,1
0.003930000,0,1
0.003932350,1,1
0.003993550,0,1
0.003995900,1,1
0.004057100,0,1
0.004059450,1,1
0.004120650,0,1
0.004123050,1,1
0.004184200,0,1
0.004186600,1,1
0.004247750,0,1
0.004250150,1,1
0.004311350,0,1
0.004313700,1,1
0.004374900,0,1
0.004377250,1,1
0.004438450,0,1
0.004440800,1,1
0.004502000,0,1
0.004504350,1,1
0.004565550,0,1
0.004567900,1,1
0.004629100,0,1
0.004631450,1,1
0.004692650,0,1
0.004695000,1,1
0.004756200,0,1
0.004758550,1,1
0.004819750,0,1
0.004822150,1,1
0.004883300,0,1
0.004885700,1,1
0.004946900,0,1
0.004949250,1,1
0.005010450,0,1
0.005012800,1,1
0.005074000,0,1
0.005076350,1,1
0.005137550,0,1
0.005139900,1,1
0.005201100,0,1
0.005203450,1,1
0.005264650,0,1
0.005267000,1,1
0.005328200,0,1
0.005330550,1,1
0.005391750,0,1
0.005394150,1,1
0.005455300,0,1
0.005457700,1,1
0.005518900,0,1
0.005521250,1,1
0.005582450,0,1
0.005584800,1,1
0.005646000,0,1
0.005648350,1,1
0.005709550,0,1
0.005711900,1,1
0.005773100,0,1
0.005775450,1,1
0.005836650,0,1
0.005839000,1,1
0.005900200,0,1
0.005902550,1,1
0.005963750,0,1
0.005966100,1,1
0.006027300,0,1
0.006029700,1,1
0.006090900,0,1
0.006093250,1,1
0.006154450,0,1
0.006156800,1,1
0.006218000,0,1
0.006220350,1,1
0.006281550,0,1
0.006283900,1,1
0.006345100,0,1
0.006347450,1,1
0.006408650,0,1
0.006411000,1,1
0.006472200,0,1
0.006474600,1,1
0.006535750,0,1
0.006538100,1,1
0.006599300,0,1
0.006601700,1,1
0.006662900,0,1
0.006665250,1,1
0.006726450,0,1
0.006728800,1,1
0.006790000,0,1
0.006792350,1,1
0.006853550,0,1
0.006855900,1,1
0.006917100,0,1
0.006919450,1,1
0.006980650,0,1
0.006983000,1,1
0.007044200,0,1
0.007046550,1,1
0.007107750,0,1
0.007110150,1,1
0.007171300,0,1
0.007173700,1,1
0.007234900,0,1
0.007237250,1,1
0.007298450,0,1
0.007300800,1,1
0.007362000,0,1
0.007364350,1,1
0.007425550,0,1
0.007427900,1,1
0.007489100,0,1
0.007491450,1,1
0.007552650,0,1
0.007555000,1,1
0.007616200,0,1
0.007618550,1,1
0.007679750,0,1
0.007682100,1,1
0.007743300,0,1
0.007745700,1,1
0.007806900,0,1
0.007809250,1,1
0.007870450,0,1
0.007872800,1,1
0.007934000,0,1
0.007936350,1,1
0.007997550,0,1
0.007999900,1,1
0.008061100,0,1
0.008063100,1,1
0.008124650,0,1
0.008126650,1,1
0.008188200,0,1
0.008190200,1,1
0.008251750,0,1
0.008254150,1,1
0.008283550,1,0
0.008315300,0,0
0.008317650,1,0
0.008378850,0,0
0.008381200,1,0
0.008442450,0,0
0.008444450,1,0
0.008474200,1,1
0.008506000,0,1
0.008508000,1,1
0.008569550,0,1
0.008571550,1,1
0.008633100,0,1
0.008635450,1,1
0.008696650,0,1
0.008699000,1,1
0.008760200,0,1
0.008762550,1,1
0.008823750,0,1
0.008826150,1,1
0.008887300,0,1
0.008889700,1,1
0.008950900,0,1
0.008953250,1,1
0.009014450,0,1
0.009016800,1,1
0.009078000,0,1
0.009080350,1,1
0.009141550,0,1
0.009143900,1,1
0.009205100,0,1
0.009207450,1,1
0.009268650,0,1
0.009271000,1,1
0.009332200,0,1
0.009334550,1,1
0.009395750,0,1
0.009398150,1,1
0.009459300,0,1
0.009461700,1,1
0.009522900,0,1
0.009525250,1,1
0.009586450,0,1
0.009588800,1,1
0.009650000,0,1
0.009652350,1,1
0.009713500,0,1
0.009715900,1,1
0.009777100,0,1
0.009779450,1,1
0.009840650,0,1
0.009843000,1,1
0.009904200,0,1
0.009906550,1,1
0.009967750,0,1
0.009970100,1,1
0.010031300,0,1
0.010033700,1,1
0.010094900,0,1
0.010097250,1,1
0.010158450,0,1
0.010160800,1,1
0.010222000,0,1
0.010224350,1,1
0.010285550,0,1
0.010287900,1,1
0.010349100,0,1
0.010351450,1,1
0.010412650,0,1
0.010415000,1,1
0.010476200,0,1
0.010478550,1,1
0.010539750,0,1
0.010542100,1,1
0.010603300,0,1
0.010605700,1,1
0.010666900,0,1
0.010669250,1,1
0.010730450,0,1
0.010732800,1,1
0.010794000,0,1
0.010796350,1,1
0.010857550,0,1
0.010859900,1,1
0.010921100,0,1
0.010923450,1,1
0.010984650,0,1
0.010987000,1,1
0.011048200,0,1
0.011050550,1,1
0.011111750,0,1
0.011114100,1,1
0.011175300,0,1
0.011177700,1,1
0.011238850,0,1
0.011241250,1,1
0.011302450,0,1
0.011304800,1,1
0.011366000,0,1
0.011368350,1,1
0.011429550,0,1
0.011431900,1,1
0.011493100,0,1
0.011495450,1,1
0.011556650,0,1
0.011559000,1,1
0.011620200,0,1
0.011622550,1,1
0.011683750,0,1
0.011686100,1,1
0.011747300,0,1
0.011749700,1,1
0.011810850,0,1
0.011813250,1,1
0.011874450,0,1
0.011876800,1,1
0.011938000,0,1
0.011940350,1,1
0.012001550,0,1
0.012003900,1,1
0.012065100,0,1
0.012067450,1,1
0.012128650,0,1
0.012131000,1,1
0.012192200,0,1
0.012194550,1,1
0.012255750,0,1
0.012258100,1,1
0.012319300,0,1
0.012321650,1,1
0.012382850,0,1
0.012385250,1,1
0.012446400,0,1
0.012448800,1,1
0.012510000,0,1
0.012512350,1,1
0.012573550,0,1
0.012575900,1,1
0.012637100,0,1
0.012639450,1,1
0.012700650,0,1
0.012703000,1,1
0.012764200,0,1
0.012766550,1,1
0.012827750,0,1
0.012830100,1,1
0.012891300,0,1
0.012893650,1,1
0.012954850,0,1
0.012957250,1,1
0.013018400,0,1
0.013020800,1,1
0.013082000,0,1
0.013084350,1,1
0.013145550,0,1
0.013147900,1,1
0.013209100,0,1
0.013211450,1,1
0.013272600,0,1
0.013275000,1,1
0.013336200,0,1
0.013338550,1,1
0.013399750,0,1
0.013402100,1,1
0.013463300,0,1
0.013465650,1,1
0.013526850,0,1
0.013529250,1,1
0.013590450,0,1
0.013592800,1,1
0.013654000,0,1
0.013656350,1,1
0.013717550,0,1
0.013719900,1,1
0.013781100,0,1
0.013783450,1,1
0.013844650,0,1
0.013847000,1,1
0.013908200,0,1
0.013910550,1,1
0.013971750,0,1
0.013974100,1,1
0.014035300,0,1
0.014037700,1,1
0.014098850,0,1
0.014101250,1,1
0.014162400,0,1
0.014164800,1,1
0.014226000,0,1
0.014228350,1,1
0.014289550,0,1
0.014291900,1,1
0.014353100,0,1
0.014355450,1,1
0.014416650,0,1
0.014419000,1,1
0.014480200,0,1
0.014482550,1,1
0.014543750,0,1
0.014546150,1,1
0.014607300,0,1
0.014609650,1,1
0.014670850,0,1
0.014673250,1,1
0.014734400,0,1
0.014736800,1,1
0.014798000,0,1
0.014800350,1,1
0.014861550,0,1
0.014863900,1,1
0.014925100,0,1
0.014927450,1,1
0.014988650,0,1
0.014991000,1,1
0.015052200,0,1
0.015054600,1,1
0.015115750,0,1
0.015118100,1,1
0.015179300,0,1
0.015181650,1,1
0.015242850,0,1
0.015245250,1,1
0.015306400,0,1
0.015308800,1,1
0.015370000,0,1
0.015372350,1,1
0.015433550,0,1
0.015435900,1,1
0.015497100,0,1
0.015499450,1,1
0.015560650,0,1
0.015563000,1,1
0.015624200,0,1
0.015626550,1,1
0.015687750,0,1
0.015690100,1,1
0.015751300,0,1
0.015753650,1,1
0.015814850,0,1
0.015817200,1,1
0.015878400,0,1
0.015880800,1,1
0.015942000,0,1
0.015944350,1,1
0.016005550,0,1
0.016007900,1,1
0.016069100,0,1
0.016071450,1,1
0.016132650,0,1
0.016135000,1,1
0.016196200,0,1
0.016198550,1,1
0.016259750,0,1
0.016262100,1,1
0.016323300,0,1
0.016325650,1,1
0.016386850,0,1
0.016389200,1,1
0.016450400,0,1
0.016452800,1,1
0.016513950,0,1
0.016516350,1,1
0.016577550,0,1
0.016579900,1,1
0.016641100,0,1
0.016643450,1,1
0.016704650,0,1
0.016707000,1,1
0.016768200,0,1
0.016770550,1,1
0.016831750,0,1
0.016834100,1,1
0.016895300,0,1
0.016897650,1,1
0.016958850,0,1
0.016961250,1,1
0.017022400,0,1
0.017024800,1,1
0.017086000,0,1
0.017088350,1,1
0.017149550,0,1
0.017151900,1,1
0.017213100,0,1
0.017215450,1,1
0.017276650,0,1
0.017279000,1,1
0.017340200,0,1
0.017342550,1,1
0.017403750,0,1
0.017406100,1,1
0.017467300,0,1
0.017469650,1,1
0.017530850,0,1
0.017533200,1,1
0.017594400,0,1
0.017596800,1,1
0.017658000,0,1
0.017660350,1,1
0.017721550,0,1
0.017723900,1,1
0.017785100,0,1
0.017787450,1,1
0.017848650,0,1
0.017851000,1,1
0.017912200,0,1
0.017914550,1,1
0.017975750,0,1
0.017978100,1,1
0.018039300,0,1
0.018041650,1,1
0.018102850,0,1
0.018105200,1,1
0.018166400,0,1
0.018168750,1,1
0.018229950,0,1
0.018232350,1,1
0.018293550,0,1
0.018295900,1,1
0.018357100,0,1
0.018359450,1,1
0.018420650,0,1
0.018423000,1,1
0.018484200,0,1
0.018486550,1,1
0.018547750,0,1
0.018550100,1,1
0.018611300,0,1
0.018613650,1,1
0.018674850,0,1
0.018677200,1,1
0.018738400,0,1
0.018740750,1,1
0.018801950,0,1
0.018804350,1,1
0.018865500,0,1
0.018867900,1,1
0.018929100,0,1
0.018931450,1,1
0.018992650,0,1
0.018995000,1,1
0.019056200,0,1
0.019058550,1,1
0.019119750,0,1
0.019122100,1,1
0.019183300,0,1
0.019185650,1,1
0.019246850,0,1
0.019249200,1,1
0.019310400,0,1
0.019312800,1,1
0.019373950,0,1
0.019376350,1,1
0.019437500,0,1
0.019439900,1,1
0.019501100,0,1
0.019503450,1,1
0.019564650,0,1
0.019567000,1,1
0.019628150,0,1
0.019630500,1,1
0.019691750,0,1
0.019694100,1,1
0.019755300,0,1
0.019757650,1,1
0.019818850,0,1
0.019821200,1,1
0.019882400,0,1
0.019884800,1,1
0.019945950,0,1
0.019948350,1,1
0.020009550,0,1
0.020011900,1,1
0.020073100,0,1
0.020075450,1,1
0.020136650,0,1
0.020139000,1,1
0.020200200,0,1
0.020202550,1,1
0.020263750,0,1
0.020266100,1,1
0.020327300,0,1
0.020329650,1,1
0.020390850,0,1
0.020393200,1,1
0.020454400,0,1
0.020456750,1,1
0.020517950,0,1
0.020520300,1,1
0.020581500,0,1
0.020583900,1,1
0.020645100,0,1
0.020647450,1,1
0.020708650,0,1
0.020711000,1,1
0.020772200,0,1
0.020774550,1,1
0.020835750,0,1
0.020838100,1,1
0.020899300,0,1
0.020901650,1,1
0.020962850,0,1
0.020965200,1,1
0.021026400,0,1
0.021028750,1,1
0.021089950,0,1
0.021092300,1,1
0.021153550,0,1
0.021155900,1,1
0.021217100,0,1
0.021219450,1,1
0.021280650,0,1
0.021283000,1,1
0.021344200,0,1
0.021346550,1,1
0.021407750,0,1
0.021410100,1,1
0.021471300,0,1
0.021473650,1,1
0.021534850,0,1
0.021537200,1,1
0.021598400,0,1
0.021600750,1,1
0.021661950,0,1
0.021664350,1,1
0.021725550,0,1
0.021727900,1,1
0.021789100,0,1
0.021791450,1,1
0.021852650,0,1
0.021855000,1,1
0.021916200,0,1
0.021918550,1,1
0.021979750,0,1
0.021982100,1,1
0.022043300,0,1
0.022045650,1,1
0.022106850,0,1
0.022109200,1,1
0.022170400,0,1
0.022172750,1,1
0.022233950,0,1
0.022236300,1,1
0.022297500,0,1
0.022299900,1,1
0.022361100,0,1
0.022363450,1,1
