Time [s],Channel 0,Channel 1
0.000000000,1,1
0.000027100,0,1
0.000029500,1,1
0.000090650,0,1
0.000093000,1,1
0.000154250,0,1
0.000156600,1,1
0.000217800,0,1
0.000220150,1,1
0.000281350,0,1
0.000283700,1,1
0.000344900,0,1
0.000347250,1,1
0.000408450,0,1
0.000410800,1,1
0.000472000,0,1
0.000474350,1,1
0.000535550,0,1
0.000537900,1,1
0.000599100,0,1
0.000601450,1,1
0.000662650,0,1
0.000665000,1,1
0.000726200,0,1
0.000728600,1,1
0.000789750,0,1
0.000792150,1,1
0.000853350,0,1
0.000855700,1,1
0.000916900,0,1
0.000919250,1,1
0.000980450,0,1
0.000982800,1,1
0.001044000,0,1
0.001046350,1,1
0.001107550,0,1
0.001109900,1,1
0.001171100,0,1
0.001173450,1,1
0.001234650,0,1
0.001237050,1,1
0.001298250,0,1
0.001300600,1,1
0.001361750,0,1
0.001364150,1,1
0.001425300,0,1
0.001427700,1,1
0.001488900,0,1
0.001491250,1,1
0.001552450,0,1
0.001554800,1,1
0.001616000,0,1
0.001618350,1,1
0.001679550,0,1
0.001681900,1,1
0.001743100,0,1
0.001745450,1,1
0.001806650,0,1
0.001809000,1,1
0.001870200,0,1
0.001872550,1,1
0.001933750,0,1
0.001936150,1,1
0.001997350,0,1
0.001999700,1,1
0.002060900,0,1
0.002063250,1,1
0.002124450,0,1
0.002126800,1,1
0.002188000,0,1
0.002190350,1,1
0.002251550,0,1
0.002253900,1,1
0.002315100,0,1
0.002317450,1,1
0.002378650,0,1
0.002381000,1,1
0.002442200,0,1
0.002444600,1,1
0.002505750,0,1
0.002508150,1,1
0.002569300,0,1
0.002571700,1,1
0.002632900,0,1
0.002635250,1,1
0.002696450,0,1
0.002698800,1,1
0.002760000,0,1
0.002762350,1,1
0.002823550,0,1
0.002825900,1,1
0.002887100,0,1
0.002889450,1,1
0.002950650,0,1
0.002953000,1,1
0.003014200,0,1
0.003016600,1,1
0.003077800,0,1
0.003080150,1,1
0.003141350,0,1
0.003143700,1,1
0.003204900,0,1
0.003207250,1,1
0.003268450,0,1
0.003270800,1,1
0.003332000,0,1
0.003334350,1,1
0.003395600,0,1
0.003397950,1,1
0.003459100,0,1
0.003461500,1,1
0.003522700,0,1
0.003525050,1,1
0.003586250,0,1
0.003588600,1,1
0.003649800,0,1
0.003652150,1,1
0.003713350,0,1
0.003715700,1,1
0.003776900,0,1
0.003779250,1,1
0.003840450,0,1
0.003842850,1,1
0.003904000,0,1
0.003906350,1,1
0.003967550,0,1
0.003969900,1,1
0.004031100,0,1
0.004033500,1,1
0.004094650,0,1
0.004097000,1,1
0.004158250,0,1
0.004160600,1,1
0.004221800,0,1
0.004224150,1,1
0.004285350,0,1
0.004287700,1,1
0.004348900,0,1
0.004351250,1,1
0.004412450,0,1
0.004414800,1,1
0.004476000,0,1
0.004478350,1,1
0.004539550,0,1
0.004541900,1,1
0.004603100,0,1
0.004605450,1,1
0.004666650,0,1
0.004669000,1,1
0.004730200,0,1
0.004732550,1,1
0.004793750,0,1
0.004796100,1,1
0.004857300,0,1
0.004859650,1,1
0.004920850,0,1
0.004923200,1,1
0.004984400,0,1
0.004986750,1,1
0.005047950,0,1
0.005050350,1,1
0.005111550,0,1
0.005113900,1,1
0.005175100,0,1
0.005177450,1,1
0.005238650,0,1
0.005241000,1,1
0.005302200,0,1
0.005304550,1,1
0.005365750,0,1
0.005368100,1,1
0.005429300,0,1
0.005431650,1,1
0.005492850,0,1
0.005495200,1,1
0.005556400,0,1
0.005558750,1,1
0.005619950,0,1
0.005622350,1,1
0.005683550,0,1
0.005685900,1,1
0.005747100,0,1
0.005749450,1,1
0.005810650,0,1
0.005813000,1,1
0.005874150,0,1
0.005876550,1,1
0.005937750,0,1
0.005940100,1,1
0.006001300,0,1
0.006003650,1,1
0.006064850,0,1
0.006067200,1,1
0.006128400,0,1
0.006130800,1,1
0.006192000,0,1
